ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
ZAF,Western  Cape,3019314,BCG vaccination received,98.3,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_BCG,93906010,I,455001,1455001,Region,Western  Cape,0,,0,1,CHVACCCBCG,ZADHS1998455001,1998,DHS,80,62,,,1
ZAF,Eastern Cape,4270364,BCG vaccination received,95.6,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_BCG,93906010,I,455002,1455002,Region,Eastern Cape,0,,0,1,CHVACCCBCG,ZADHS1998455002,1998,DHS,127,234,,,1
ZAF,Northern Cape,6737400,BCG vaccination received,97.5,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_BCG,93906010,I,455003,1455003,Region,Northern Cape,0,,0,1,CHVACCCBCG,ZADHS1998455003,1998,DHS,20,83,,,1
ZAF,Free State,5603273,BCG vaccination received,95.1,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_BCG,93906010,I,455004,1455004,Region,Free State,0,,0,1,CHVACCCBCG,ZADHS1998455004,1998,DHS,51,62,,,1
ZAF,KwaZulu Natal,2779985,BCG vaccination received,97,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_BCG,93906010,I,455005,1455005,Region,KwaZulu Natal,0,,0,1,CHVACCCBCG,ZADHS1998455005,1998,DHS,208,150,,,1
ZAF,North West,1370777,BCG vaccination received,95.7,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_BCG,93906010,I,455006,1455006,Region,North West,0,,0,1,CHVACCCBCG,ZADHS1998455006,1998,DHS,67,69,,,1
ZAF,Gauteng,5710155,BCG vaccination received,97.6,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_BCG,93906010,I,455007,1455007,Region,Gauteng,0,,0,1,CHVACCCBCG,ZADHS1998455007,1998,DHS,199,83,,,1
ZAF,Mpumalanga,5890394,BCG vaccination received,96.4,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_BCG,93906010,I,455008,1455008,Region,Mpumalanga,0,,0,1,CHVACCCBCG,ZADHS1998455008,1998,DHS,72,100,,,1
ZAF,Northern Province,4088179,BCG vaccination received,96.9,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_BCG,93906010,I,455009,1455009,Region,Northern Province,0,,0,1,CHVACCCBCG,ZADHS1998455009,1998,DHS,149,128,,,1
ZAF,Western  Cape,3019312,DPT 1 vaccination received,95.3,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP1,93906020,I,455001,1455001,Region,Western  Cape,0,,0,1,CHVACCCDP1,ZADHS1998455001,1998,DHS,80,62,,,1
ZAF,Eastern Cape,4270365,DPT 1 vaccination received,90.8,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP1,93906020,I,455002,1455002,Region,Eastern Cape,0,,0,1,CHVACCCDP1,ZADHS1998455002,1998,DHS,127,234,,,1
ZAF,Northern Cape,6737398,DPT 1 vaccination received,93.9,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP1,93906020,I,455003,1455003,Region,Northern Cape,0,,0,1,CHVACCCDP1,ZADHS1998455003,1998,DHS,20,83,,,1
ZAF,Free State,5603270,DPT 1 vaccination received,96.9,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP1,93906020,I,455004,1455004,Region,Free State,0,,0,1,CHVACCCDP1,ZADHS1998455004,1998,DHS,51,62,,,1
ZAF,KwaZulu Natal,2779983,DPT 1 vaccination received,90.6,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP1,93906020,I,455005,1455005,Region,KwaZulu Natal,0,,0,1,CHVACCCDP1,ZADHS1998455005,1998,DHS,208,150,,,1
ZAF,North West,1370780,DPT 1 vaccination received,89.8,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP1,93906020,I,455006,1455006,Region,North West,0,,0,1,CHVACCCDP1,ZADHS1998455006,1998,DHS,67,69,,,1
ZAF,Gauteng,5710150,DPT 1 vaccination received,96.4,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP1,93906020,I,455007,1455007,Region,Gauteng,0,,0,1,CHVACCCDP1,ZADHS1998455007,1998,DHS,199,83,,,1
ZAF,Mpumalanga,5890397,DPT 1 vaccination received,92.7,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP1,93906020,I,455008,1455008,Region,Mpumalanga,0,,0,1,CHVACCCDP1,ZADHS1998455008,1998,DHS,72,100,,,1
ZAF,Northern Province,4088175,DPT 1 vaccination received,94.5,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP1,93906020,I,455009,1455009,Region,Northern Province,0,,0,1,CHVACCCDP1,ZADHS1998455009,1998,DHS,149,128,,,1
ZAF,Western  Cape,3019315,DPT 2 vaccination received,85.8,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP2,93906030,I,455001,1455001,Region,Western  Cape,0,,0,1,CHVACCCDP2,ZADHS1998455001,1998,DHS,80,62,,,1
ZAF,Eastern Cape,4270369,DPT 2 vaccination received,81.1,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP2,93906030,I,455002,1455002,Region,Eastern Cape,0,,0,1,CHVACCCDP2,ZADHS1998455002,1998,DHS,127,234,,,1
ZAF,Northern Cape,6737401,DPT 2 vaccination received,90.2,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP2,93906030,I,455003,1455003,Region,Northern Cape,0,,0,1,CHVACCCDP2,ZADHS1998455003,1998,DHS,20,83,,,1
ZAF,Free State,5603274,DPT 2 vaccination received,93.8,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP2,93906030,I,455004,1455004,Region,Free State,0,,0,1,CHVACCCDP2,ZADHS1998455004,1998,DHS,51,62,,,1
ZAF,KwaZulu Natal,2779986,DPT 2 vaccination received,80.9,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP2,93906030,I,455005,1455005,Region,KwaZulu Natal,0,,0,1,CHVACCCDP2,ZADHS1998455005,1998,DHS,208,150,,,1
ZAF,North West,1370778,DPT 2 vaccination received,82.2,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP2,93906030,I,455006,1455006,Region,North West,0,,0,1,CHVACCCDP2,ZADHS1998455006,1998,DHS,67,69,,,1
ZAF,Gauteng,5710156,DPT 2 vaccination received,91.6,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP2,93906030,I,455007,1455007,Region,Gauteng,0,,0,1,CHVACCCDP2,ZADHS1998455007,1998,DHS,199,83,,,1
ZAF,Mpumalanga,5890395,DPT 2 vaccination received,88.5,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP2,93906030,I,455008,1455008,Region,Mpumalanga,0,,0,1,CHVACCCDP2,ZADHS1998455008,1998,DHS,72,100,,,1
ZAF,Northern Province,4088180,DPT 2 vaccination received,88.3,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP2,93906030,I,455009,1455009,Region,Northern Province,0,,0,1,CHVACCCDP2,ZADHS1998455009,1998,DHS,149,128,,,1
ZAF,Western  Cape,3019313,DPT 3 vaccination received,74.2,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP3,93906040,I,455001,1455001,Region,Western  Cape,0,,0,1,CHVACCCDP3,ZADHS1998455001,1998,DHS,80,62,,,1
ZAF,Eastern Cape,4270366,DPT 3 vaccination received,68.1,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP3,93906040,I,455002,1455002,Region,Eastern Cape,0,,0,1,CHVACCCDP3,ZADHS1998455002,1998,DHS,127,234,,,1
ZAF,Northern Cape,6737399,DPT 3 vaccination received,89,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP3,93906040,I,455003,1455003,Region,Northern Cape,0,,0,1,CHVACCCDP3,ZADHS1998455003,1998,DHS,20,83,,,1
ZAF,Free State,5603271,DPT 3 vaccination received,82.1,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP3,93906040,I,455004,1455004,Region,Free State,0,,0,1,CHVACCCDP3,ZADHS1998455004,1998,DHS,51,62,,,1
ZAF,KwaZulu Natal,2779984,DPT 3 vaccination received,62.3,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP3,93906040,I,455005,1455005,Region,KwaZulu Natal,0,,0,1,CHVACCCDP3,ZADHS1998455005,1998,DHS,208,150,,,1
ZAF,North West,1370781,DPT 3 vaccination received,82.2,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP3,93906040,I,455006,1455006,Region,North West,0,,0,1,CHVACCCDP3,ZADHS1998455006,1998,DHS,67,69,,,1
ZAF,Gauteng,5710151,DPT 3 vaccination received,85.6,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP3,93906040,I,455007,1455007,Region,Gauteng,0,,0,1,CHVACCCDP3,ZADHS1998455007,1998,DHS,199,83,,,1
ZAF,Mpumalanga,5890398,DPT 3 vaccination received,77.7,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP3,93906040,I,455008,1455008,Region,Mpumalanga,0,,0,1,CHVACCCDP3,ZADHS1998455008,1998,DHS,72,100,,,1
ZAF,Northern Province,4088176,DPT 3 vaccination received,85.1,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_DP3,93906040,I,455009,1455009,Region,Northern Province,0,,0,1,CHVACCCDP3,ZADHS1998455009,1998,DHS,149,128,,,1
ZAF,Western  Cape,3019316,Polio 0 vaccination received,95.7,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP0,93906050,I,455001,1455001,Region,Western  Cape,0,,0,1,CHVACCCOP0,ZADHS1998455001,1998,DHS,80,62,,,1
ZAF,Eastern Cape,4270372,Polio 0 vaccination received,89.3,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP0,93906050,I,455002,1455002,Region,Eastern Cape,0,,0,1,CHVACCCOP0,ZADHS1998455002,1998,DHS,127,234,,,1
ZAF,Northern Cape,6737405,Polio 0 vaccination received,97.5,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP0,93906050,I,455003,1455003,Region,Northern Cape,0,,0,1,CHVACCCOP0,ZADHS1998455003,1998,DHS,20,83,,,1
ZAF,Free State,5603278,Polio 0 vaccination received,95.2,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP0,93906050,I,455004,1455004,Region,Free State,0,,0,1,CHVACCCOP0,ZADHS1998455004,1998,DHS,51,62,,,1
ZAF,KwaZulu Natal,2779987,Polio 0 vaccination received,87.3,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP0,93906050,I,455005,1455005,Region,KwaZulu Natal,0,,0,1,CHVACCCOP0,ZADHS1998455005,1998,DHS,208,150,,,1
ZAF,North West,1370788,Polio 0 vaccination received,83.8,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP0,93906050,I,455006,1455006,Region,North West,0,,0,1,CHVACCCOP0,ZADHS1998455006,1998,DHS,67,69,,,1
ZAF,Gauteng,5710158,Polio 0 vaccination received,95.2,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP0,93906050,I,455007,1455007,Region,Gauteng,0,,0,1,CHVACCCOP0,ZADHS1998455007,1998,DHS,199,83,,,1
ZAF,Mpumalanga,5890401,Polio 0 vaccination received,91.8,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP0,93906050,I,455008,1455008,Region,Mpumalanga,0,,0,1,CHVACCCOP0,ZADHS1998455008,1998,DHS,72,100,,,1
ZAF,Northern Province,4088220,Polio 0 vaccination received,91.4,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP0,93906050,I,455009,1455009,Region,Northern Province,0,,0,1,CHVACCCOP0,ZADHS1998455009,1998,DHS,149,128,,,1
ZAF,Western  Cape,3019317,Polio 1 vaccination received,91.7,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP1,93906060,I,455001,1455001,Region,Western  Cape,0,,0,1,CHVACCCOP1,ZADHS1998455001,1998,DHS,80,62,,,1
ZAF,Eastern Cape,4270373,Polio 1 vaccination received,86.9,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP1,93906060,I,455002,1455002,Region,Eastern Cape,0,,0,1,CHVACCCOP1,ZADHS1998455002,1998,DHS,127,234,,,1
ZAF,Northern Cape,6737406,Polio 1 vaccination received,92.7,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP1,93906060,I,455003,1455003,Region,Northern Cape,0,,0,1,CHVACCCOP1,ZADHS1998455003,1998,DHS,20,83,,,1
ZAF,Free State,5603279,Polio 1 vaccination received,96.9,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP1,93906060,I,455004,1455004,Region,Free State,0,,0,1,CHVACCCOP1,ZADHS1998455004,1998,DHS,51,62,,,1
ZAF,KwaZulu Natal,2779988,Polio 1 vaccination received,87.7,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP1,93906060,I,455005,1455005,Region,KwaZulu Natal,0,,0,1,CHVACCCOP1,ZADHS1998455005,1998,DHS,208,150,,,1
ZAF,North West,1370789,Polio 1 vaccination received,91.2,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP1,93906060,I,455006,1455006,Region,North West,0,,0,1,CHVACCCOP1,ZADHS1998455006,1998,DHS,67,69,,,1
ZAF,Gauteng,5710159,Polio 1 vaccination received,92.8,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP1,93906060,I,455007,1455007,Region,Gauteng,0,,0,1,CHVACCCOP1,ZADHS1998455007,1998,DHS,199,83,,,1
ZAF,Mpumalanga,5890458,Polio 1 vaccination received,90.3,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP1,93906060,I,455008,1455008,Region,Mpumalanga,0,,0,1,CHVACCCOP1,ZADHS1998455008,1998,DHS,72,100,,,1
ZAF,Northern Province,4088221,Polio 1 vaccination received,94.5,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP1,93906060,I,455009,1455009,Region,Northern Province,0,,0,1,CHVACCCOP1,ZADHS1998455009,1998,DHS,149,128,,,1
ZAF,Western  Cape,3019331,Polio 2 vaccination received,77.3,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP2,93906070,I,455001,1455001,Region,Western  Cape,0,,0,1,CHVACCCOP2,ZADHS1998455001,1998,DHS,80,62,,,1
ZAF,Eastern Cape,4270374,Polio 2 vaccination received,76.5,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP2,93906070,I,455002,1455002,Region,Eastern Cape,0,,0,1,CHVACCCOP2,ZADHS1998455002,1998,DHS,127,234,,,1
ZAF,Northern Cape,6737407,Polio 2 vaccination received,89,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP2,93906070,I,455003,1455003,Region,Northern Cape,0,,0,1,CHVACCCOP2,ZADHS1998455003,1998,DHS,20,83,,,1
ZAF,Free State,5603280,Polio 2 vaccination received,85.6,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP2,93906070,I,455004,1455004,Region,Free State,0,,0,1,CHVACCCOP2,ZADHS1998455004,1998,DHS,51,62,,,1
ZAF,KwaZulu Natal,2779995,Polio 2 vaccination received,77.5,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP2,93906070,I,455005,1455005,Region,KwaZulu Natal,0,,0,1,CHVACCCOP2,ZADHS1998455005,1998,DHS,208,150,,,1
ZAF,North West,1370790,Polio 2 vaccination received,80.7,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP2,93906070,I,455006,1455006,Region,North West,0,,0,1,CHVACCCOP2,ZADHS1998455006,1998,DHS,67,69,,,1
ZAF,Gauteng,5710160,Polio 2 vaccination received,88,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP2,93906070,I,455007,1455007,Region,Gauteng,0,,0,1,CHVACCCOP2,ZADHS1998455007,1998,DHS,199,83,,,1
ZAF,Mpumalanga,5890459,Polio 2 vaccination received,86.7,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP2,93906070,I,455008,1455008,Region,Mpumalanga,0,,0,1,CHVACCCOP2,ZADHS1998455008,1998,DHS,72,100,,,1
ZAF,Northern Province,4088222,Polio 2 vaccination received,88.3,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP2,93906070,I,455009,1455009,Region,Northern Province,0,,0,1,CHVACCCOP2,ZADHS1998455009,1998,DHS,149,128,,,1
ZAF,Western  Cape,3019290,Polio 3 vaccination received,72.5,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP3,93906080,I,455001,1455001,Region,Western  Cape,0,,0,1,CHVACCCOP3,ZADHS1998455001,1998,DHS,80,62,,,1
ZAF,Eastern Cape,4270375,Polio 3 vaccination received,61.3,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP3,93906080,I,455002,1455002,Region,Eastern Cape,0,,0,1,CHVACCCOP3,ZADHS1998455002,1998,DHS,127,234,,,1
ZAF,Northern Cape,6737445,Polio 3 vaccination received,85.5,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP3,93906080,I,455003,1455003,Region,Northern Cape,0,,0,1,CHVACCCOP3,ZADHS1998455003,1998,DHS,20,83,,,1
ZAF,Free State,5603281,Polio 3 vaccination received,72.6,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP3,93906080,I,455004,1455004,Region,Free State,0,,0,1,CHVACCCOP3,ZADHS1998455004,1998,DHS,51,62,,,1
ZAF,KwaZulu Natal,2779996,Polio 3 vaccination received,59.6,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP3,93906080,I,455005,1455005,Region,KwaZulu Natal,0,,0,1,CHVACCCOP3,ZADHS1998455005,1998,DHS,208,150,,,1
ZAF,North West,1370791,Polio 3 vaccination received,70.8,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP3,93906080,I,455006,1455006,Region,North West,0,,0,1,CHVACCCOP3,ZADHS1998455006,1998,DHS,67,69,,,1
ZAF,Gauteng,5710161,Polio 3 vaccination received,80.8,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP3,93906080,I,455007,1455007,Region,Gauteng,0,,0,1,CHVACCCOP3,ZADHS1998455007,1998,DHS,199,83,,,1
ZAF,Mpumalanga,5890460,Polio 3 vaccination received,75.9,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP3,93906080,I,455008,1455008,Region,Mpumalanga,0,,0,1,CHVACCCOP3,ZADHS1998455008,1998,DHS,72,100,,,1
ZAF,Northern Province,4088223,Polio 3 vaccination received,83.6,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_OP3,93906080,I,455009,1455009,Region,Northern Province,0,,0,1,CHVACCCOP3,ZADHS1998455009,1998,DHS,149,128,,,1
ZAF,Western  Cape,3019288,Measles vaccination received,83.7,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_MSL,93906090,I,455001,1455001,Region,Western  Cape,0,,0,1,CHVACCCMSL,ZADHS1998455001,1998,DHS,80,62,,,1
ZAF,Eastern Cape,4270367,Measles vaccination received,75.4,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_MSL,93906090,I,455002,1455002,Region,Eastern Cape,0,,0,1,CHVACCCMSL,ZADHS1998455002,1998,DHS,127,234,,,1
ZAF,Northern Cape,6737402,Measles vaccination received,90.5,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_MSL,93906090,I,455003,1455003,Region,Northern Cape,0,,0,1,CHVACCCMSL,ZADHS1998455003,1998,DHS,20,83,,,1
ZAF,Free State,5603272,Measles vaccination received,80.8,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_MSL,93906090,I,455004,1455004,Region,Free State,0,,0,1,CHVACCCMSL,ZADHS1998455004,1998,DHS,51,62,,,1
ZAF,KwaZulu Natal,2779993,Measles vaccination received,82.5,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_MSL,93906090,I,455005,1455005,Region,KwaZulu Natal,0,,0,1,CHVACCCMSL,ZADHS1998455005,1998,DHS,208,150,,,1
ZAF,North West,1370782,Measles vaccination received,87,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_MSL,93906090,I,455006,1455006,Region,North West,0,,0,1,CHVACCCMSL,ZADHS1998455006,1998,DHS,67,69,,,1
ZAF,Gauteng,5710152,Measles vaccination received,84.4,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_MSL,93906090,I,455007,1455007,Region,Gauteng,0,,0,1,CHVACCCMSL,ZADHS1998455007,1998,DHS,199,83,,,1
ZAF,Mpumalanga,5890399,Measles vaccination received,83.7,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_MSL,93906090,I,455008,1455008,Region,Mpumalanga,0,,0,1,CHVACCCMSL,ZADHS1998455008,1998,DHS,72,100,,,1
ZAF,Northern Province,4088177,Measles vaccination received,80.4,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_MSL,93906090,I,455009,1455009,Region,Northern Province,0,,0,1,CHVACCCMSL,ZADHS1998455009,1998,DHS,149,128,,,1
ZAF,Western  Cape,3019287,Fully vaccinated (8 basic antigens),64.2,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_BAS,93906230,I,455001,1455001,Region,Western  Cape,0,,0,1,CHVACCCBAS,ZADHS1998455001,1998,DHS,80,62,,,1
ZAF,Eastern Cape,4270370,Fully vaccinated (8 basic antigens),52.6,1,ZA,South Africa,1998,ZA1998DHS,CH_VACC_C_BAS,93906230,I,455002,1455002,Region,Eastern Cape,0,,0,1,CHVACCCBAS,ZADHS1998455002,1998,DHS,127,234,,,1
